Ecosystem,Namespace,Name,Version,ExecutedCommands,Imports,MaliciousFileNames,Behavior,RemoteIPs,MetadataIPs,C2_IPs,C2_Domains,MD5,SHA1,SHA256,PackageMD5,PackageSHA1,PackageSHA256,MalwareFileSHA256,TarballSHA512,NpmIntegrity,Source,EvidenceType,Confidence,Notes,RemoteUrls,DownloadUrls,RegistryUrls,C2Domains,C2IPs,C2Urls,SourceUrls,Published,Detected,CollectedAt
npm,,keyv,6.0.0,node setup.mjs|bun Math_Symbol.js,,setup.mjs|Math_Symbol.js,1. Downloads a standalone Bun runtime; 2. Executes obfuscated second-stage JavaScript; 3. Harvests AWS Vault Kubernetes GitHub Actions and npm credentials; 4. Encrypts data using AES-256-GCM; 5. Exfiltrates data to attacker-controlled GitHub repositories and DNS-resolved destinations; 6. Self-propagates by publishing trojanized packages,169.254.169.254|169.254.170.2,169.254.169.254|169.254.170.2,,,,,,,,,,,,Socket,documented campaign behavior,high,Campaign-level behavior and loader indicators; package-specific hashes not yet collected.,https://github.com/oven-sh/bun/releases/download/bun-v1.3.13/|https://registry.npmjs.org/-/whoami|https://registry.npmjs.org/-/npm/v1/tokens|https://registry.npmjs.org/-/npm/v1/oidc/token/exchange/package/,https://github.com/oven-sh/bun/releases/download/bun-v1.3.13/,https://registry.npmjs.org/-/whoami|https://registry.npmjs.org/-/npm/v1/tokens|https://registry.npmjs.org/-/npm/v1/oidc/token/exchange/package/,,,,https://socket.dev/blog/popular-npm-packages-in-the-keyv-and-cacheable-namespaces-compromised-in-active-supply-chain|https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T09:35:00.763Z,2026-08-04T09:41:25.543Z,
npm,@thiennq,docs-viewer,1.6.2,node setup.mjs|bun Math_Symbol.js,,setup.mjs|Math_Symbol.js,1. Downloads a standalone Bun runtime; 2. Executes obfuscated second-stage JavaScript; 3. Harvests AWS Vault Kubernetes GitHub Actions and npm credentials; 4. Encrypts data using AES-256-GCM; 5. Exfiltrates data to attacker-controlled GitHub repositories and DNS-resolved destinations; 6. Self-propagates by publishing trojanized packages,169.254.169.254|169.254.170.2,169.254.169.254|169.254.170.2,,,,,,,,,,,,Socket,documented campaign behavior,high,Campaign-level behavior and loader indicators; package-specific hashes not yet collected.,https://github.com/oven-sh/bun/releases/download/bun-v1.3.13/|https://registry.npmjs.org/-/whoami|https://registry.npmjs.org/-/npm/v1/tokens|https://registry.npmjs.org/-/npm/v1/oidc/token/exchange/package/,https://github.com/oven-sh/bun/releases/download/bun-v1.3.13/,https://registry.npmjs.org/-/whoami|https://registry.npmjs.org/-/npm/v1/tokens|https://registry.npmjs.org/-/npm/v1/oidc/token/exchange/package/,,,,https://socket.dev/blog/popular-npm-packages-in-the-keyv-and-cacheable-namespaces-compromised-in-active-supply-chain|https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T09:38:13.626Z,2026-08-04T09:44:25.577Z,
npm,,cacheable-request,13.0.20,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:11:24.412Z,2026-08-04T10:12:36.517Z,
npm,,cacheable,2.5.1,node setup.mjs|bun Math_Symbol.js,,setup.mjs|Math_Symbol.js,1. Downloads a standalone Bun runtime; 2. Executes obfuscated second-stage JavaScript; 3. Harvests AWS Vault Kubernetes GitHub Actions and npm credentials; 4. Encrypts data using AES-256-GCM; 5. Exfiltrates data to attacker-controlled GitHub repositories and DNS-resolved destinations; 6. Self-propagates by publishing trojanized packages,169.254.169.254|169.254.170.2,169.254.169.254|169.254.170.2,,,,,,,,,,,,Socket,documented campaign behavior,high,Campaign-level behavior and loader indicators; package-specific hashes not yet collected.,https://github.com/oven-sh/bun/releases/download/bun-v1.3.13/|https://registry.npmjs.org/-/whoami|https://registry.npmjs.org/-/npm/v1/tokens|https://registry.npmjs.org/-/npm/v1/oidc/token/exchange/package/,https://github.com/oven-sh/bun/releases/download/bun-v1.3.13/,https://registry.npmjs.org/-/whoami|https://registry.npmjs.org/-/npm/v1/tokens|https://registry.npmjs.org/-/npm/v1/oidc/token/exchange/package/,,,,https://socket.dev/blog/popular-npm-packages-in-the-keyv-and-cacheable-namespaces-compromised-in-active-supply-chain|https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:10:44.549Z,2026-08-04T10:13:44.185Z,
npm,@cacheable,node-cache,3.1.2,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:10:34.275Z,2026-08-04T10:15:25.237Z,
npm,@cacheable,net,2.1.1,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:09:44.773Z,2026-08-04T10:15:33.883Z,
npm,,flat-cache,6.1.24,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:10:55.001Z,2026-08-04T10:16:08.162Z,
npm,@cacheable,memory,2.2.1,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:11:29.866Z,2026-08-04T10:16:09.365Z,
npm,,cache-manager,7.2.10,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:14:41.662Z,2026-08-04T10:17:32.447Z,
npm,,file-entry-cache,11.1.6,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:13:02.348Z,2026-08-04T10:18:16.785Z,
npm,@hubsync,web-sdk-react,6.3.11,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:17:05.592Z,2026-08-04T10:25:00.712Z,
npm,@hubsync,web-sdk-react,6.3.7,,,,,,,,,,,,,,,,,,Socket,documented campaign package listing,high,Package/version listed in the Socket campaign export; package-specific malware behavior and indicators require independent confirmation.,,,,,,,https://socket.dev/supply-chain-attacks/keyv-and-cacheable-compromise,2026-08-04T10:12:34.393Z,2026-08-04T10:24:57.516Z,
